dong,feature,mean_abs_shap
대명9동,sigungu,0.27127686
대명9동,fire_count,0.21001385
대명9동,ambulance_count,0.09718889
대명9동,road_len,0.07731785
대명9동,road_len_8,0.063307315
대명9동,speed,0.042792287
대명9동,parking,0.041567978
대명9동,household,0.03835587
대명9동,month,0.035916973
대명9동,ambulance_len,0.03518703
대명9동,ratio_road_len_4,0.031702265
대명9동,safety_count,0.022258362
대명9동,household_size,0.017009292
대명9동,rescue_count,0.0143284565
대명9동,rescue_len,0.010587207
대명9동,population,0.008769841
대명9동,safety_len,0.0067223893
대명9동,road_len_4,0.0056404783
대명9동,fire_len,0.005030267
대명9동,dong_le,0.0036567955
대명9동,pop_density,0.0028862243
대명9동,road_len_12up,0.0021157986
대명9동,road_len_12,0.0020393534
대명9동,traffic,0.0017569531
대명9동,area,0.0015375757
대명9동,market,0.0010414502
대명9동,road_len_5.5,0.0007726638
신당동,fire_count,0.28625658
신당동,road_len_12up,0.18386048
신당동,road_len,0.08204547
신당동,road_len_12,0.071656995
신당동,ambulance_count,0.06669154
신당동,household,0.05912711
신당동,ratio_road_len_4,0.029034713
신당동,household_size,0.0234577
신당동,month,0.022805952
신당동,population,0.01986845
신당동,ambulance_len,0.018620241
신당동,safety_len,0.013801708
신당동,road_len_4,0.009667517
신당동,rescue_count,0.009424232
신당동,dong_le,0.006535023
신당동,road_len_5.5,0.0051452937
신당동,sigungu,0.0051177167
신당동,rescue_len,0.0050214645
신당동,safety_count,0.0048947413
신당동,pop_density,0.004116122
신당동,road_len_8,0.0041091344
신당동,area,0.003758358
신당동,fire_len,0.0033984042
신당동,speed,0.0030536233
신당동,traffic,0.0022248395
신당동,market,0.0019370569
신당동,parking,0.0010623573
논공읍,fire_count,0.3215927
논공읍,road_len_12up,0.17035234
논공읍,road_len,0.079517365
논공읍,road_len_12,0.06671838
논공읍,ambulance_count,0.059472334
논공읍,month,0.03977852
논공읍,ratio_road_len_4,0.026979452
논공읍,rescue_count,0.025436545
논공읍,road_len_8,0.023915911
논공읍,ambulance_len,0.021305194
논공읍,household,0.015873905
논공읍,safety_len,0.012947865
논공읍,dong_le,0.008319662
논공읍,household_size,0.0077380245
논공읍,sigungu,0.005874004
논공읍,fire_len,0.005156395
논공읍,pop_density,0.0043622707
논공읍,population,0.0036657017
