dong,feature,mean_abs_shap
대명9동,sigungu,0.16120528
대명9동,hour,0.119776666
대명9동,fire_count,0.08937339
대명9동,ambulance_count,0.0812291
대명9동,road_len_8,0.047787398
대명9동,road_len,0.044343736
대명9동,parking,0.03361465
대명9동,household,0.03265011
대명9동,population,0.01907625
대명9동,safety_count,0.018849818
대명9동,ratio_road_len_4,0.017908078
대명9동,speed,0.015277601
대명9동,ambulance_len,0.012947652
대명9동,rescue_count,0.009897747
대명9동,household_size,0.009283942
대명9동,dong_le,0.008917949
대명9동,road_len_4,0.0067569106
대명9동,safety_len,0.0053855707
대명9동,road_len_12up,0.004459284
대명9동,rescue_len,0.004110731
대명9동,road_len_12,0.0035528447
대명9동,area,0.0022252712
대명9동,road_len_5.5,0.0016654367
대명9동,fire_len,0.0015242969
대명9동,pop_density,0.0010242529
대명9동,traffic,0.0007310578
대명9동,market,4.884164e-05
신당동,fire_count,0.16005759
신당동,road_len_12up,0.13372505
신당동,hour,0.10374507
신당동,ambulance_count,0.056862738
신당동,household,0.04959218
신당동,road_len,0.03867018
신당동,road_len_12,0.037314996
신당동,household_size,0.01809539
신당동,population,0.017129732
신당동,sigungu,0.011087666
신당동,ratio_road_len_4,0.011036545
신당동,speed,0.008389792
신당동,ambulance_len,0.008090481
신당동,rescue_count,0.0073685055
신당동,road_len_5.5,0.006800921
신당동,dong_le,0.0061942115
신당동,safety_len,0.005573462
신당동,road_len_8,0.0050929543
신당동,road_len_4,0.0038492214
신당동,rescue_len,0.0020276865
신당동,area,0.0018284408
신당동,parking,0.0018275321
신당동,safety_count,0.001787453
신당동,fire_len,0.0015264144
신당동,pop_density,0.0009696212
신당동,market,0.00080589
신당동,traffic,0.00078000297
월성1동,fire_count,0.1635713
월성1동,road_len_12up,0.13077241
월성1동,hour,0.12391204
월성1동,ambulance_count,0.047795534
월성1동,road_len,0.044945557
월성1동,household,0.044787902
월성1동,population,0.020053463
월성1동,ratio_road_len_4,0.019840864
월성1동,speed,0.017336315
월성1동,sigungu,0.011797617
월성1동,household_size,0.011369298
월성1동,safety_count,0.009304079
월성1동,rescue_count,0.008737451
월성1동,dong_le,0.0076924167
월성1동,pop_density,0.0068911477
월성1동,safety_len,0.00587344
월성1동,ambulance_len,0.0055264686
월성1동,rescue_len,0.003681109
월성1동,area,0.0028379362
월성1동,road_len_12,0.0027947316
월성1동,road_len_8,0.0023566857
월성1동,traffic,0.00160702
월성1동,fire_len,0.0012496035
월성1동,parking,0.001247849
월성1동,road_len_5.5,0.0011783437
월성1동,market,0.0008435329
월성1동,road_len_4,0.00076419994
다사읍,fire_count,0.1789008
다사읍,hour,0.111118674
다사읍,road_len_12up,0.10902288
다사읍,household,0.040474255
다사읍,ambulance_count,0.03687989
다사읍,road_len_12,0.0329041
다사읍,road_len,0.032536298
다사읍,road_len_8,0.016745321
다사읍,population,0.016638717
다사읍,rescue_count,0.014833842
다사읍,ambulance_len,0.013584272
다사읍,safety_count,0.00995721
다사읍,sigungu,0.0075551714
다사읍,speed,0.0068310895
다사읍,dong_le,0.0063948403
다사읍,fire_len,0.0055555985
다사읍,household_size,0.005111451
다사읍,traffic,0.0048719416
