시군구,읍면동,시간,시간별출동횟수,시간별도착시간
군위군,군위읍,0,0,
군위군,군위읍,1,0,
군위군,군위읍,2,1,0
군위군,군위읍,3,0,
군위군,군위읍,4,1,6
군위군,군위읍,5,0,
군위군,군위읍,6,0,
군위군,군위읍,7,0,
군위군,군위읍,8,0,
군위군,군위읍,9,0,
군위군,군위읍,10,1,4
군위군,군위읍,11,0,
군위군,군위읍,12,1,3
군위군,군위읍,13,0,
군위군,군위읍,14,1,8
군위군,군위읍,15,2,0
군위군,군위읍,16,3,3
군위군,군위읍,17,1,4
군위군,군위읍,18,3,3
군위군,군위읍,19,0,
군위군,군위읍,20,2,5
군위군,군위읍,21,0,
군위군,군위읍,22,0,
군위군,군위읍,23,0,
군위군,부계면,0,0,
군위군,부계면,1,0,
군위군,부계면,2,0,
군위군,부계면,3,0,
군위군,부계면,4,0,
군위군,부계면,5,0,
군위군,부계면,6,0,
군위군,부계면,7,0,
군위군,부계면,8,1,1
군위군,부계면,9,0,
군위군,부계면,10,0,
군위군,부계면,11,1,5
군위군,부계면,12,0,
군위군,부계면,13,0,
군위군,부계면,14,2,11
군위군,부계면,15,2,7
군위군,부계면,16,0,
군위군,부계면,17,1,1
군위군,부계면,18,0,
군위군,부계면,19,1,5
군위군,부계면,20,1,5
군위군,부계면,21,0,
군위군,부계면,22,0,
군위군,부계면,23,0,
군위군,산성면,0,0,
군위군,산성면,1,0,
군위군,산성면,2,0,
군위군,산성면,3,0,
군위군,산성면,4,0,
군위군,산성면,5,0,
군위군,산성면,6,0,
군위군,산성면,7,0,
군위군,산성면,8,0,
군위군,산성면,9,0,
군위군,산성면,10,0,
군위군,산성면,11,0,
군위군,산성면,12,0,
군위군,산성면,13,0,
군위군,산성면,14,0,
군위군,산성면,15,0,
군위군,산성면,16,0,
군위군,산성면,17,0,
군위군,산성면,18,0,
군위군,산성면,19,0,
군위군,산성면,20,0,
군위군,산성면,21,1,4
군위군,산성면,22,0,
군위군,산성면,23,0,
군위군,삼국유사면,0,0,
군위군,삼국유사면,1,0,
군위군,삼국유사면,2,0,
군위군,삼국유사면,3,0,
군위군,삼국유사면,4,0,
군위군,삼국유사면,5,0,
군위군,삼국유사면,6,0,
군위군,삼국유사면,7,0,
군위군,삼국유사면,8,1,9
군위군,삼국유사면,9,0,
군위군,삼국유사면,10,1,29
군위군,삼국유사면,11,0,
군위군,삼국유사면,12,0,
군위군,삼국유사면,13,0,
군위군,삼국유사면,14,1,22
군위군,삼국유사면,15,0,
군위군,삼국유사면,16,0,
군위군,삼국유사면,17,0,
군위군,삼국유사면,18,0,
군위군,삼국유사면,19,0,
군위군,삼국유사면,20,0,
군위군,삼국유사면,21,0,
군위군,삼국유사면,22,0,
군위군,삼국유사면,23,0,
군위군,소보면,0,0,
