시군구,읍면동,요일,요일별출동횟수,요일별도착시간
군위군,군위읍,금요일,1,6
군위군,군위읍,목요일,2,2
군위군,군위읍,수요일,2,5.5
군위군,군위읍,월요일,4,4
군위군,군위읍,일요일,4,5
군위군,군위읍,토요일,1,3
군위군,군위읍,화요일,2,1.5
군위군,부계면,금요일,1,5
군위군,부계면,목요일,0,
군위군,부계면,수요일,1,1
군위군,부계면,월요일,2,2.5
군위군,부계면,일요일,1,5
군위군,부계면,토요일,3,9
군위군,부계면,화요일,1,1
군위군,산성면,금요일,0,
군위군,산성면,목요일,0,
군위군,산성면,수요일,0,
군위군,산성면,월요일,0,
군위군,산성면,일요일,0,
군위군,산성면,토요일,0,
군위군,산성면,화요일,1,4
군위군,삼국유사면,금요일,0,
군위군,삼국유사면,목요일,1,9
군위군,삼국유사면,수요일,0,
군위군,삼국유사면,월요일,0,
군위군,삼국유사면,일요일,0,
군위군,삼국유사면,토요일,0,
군위군,삼국유사면,화요일,2,25.5
군위군,소보면,금요일,0,
군위군,소보면,목요일,0,
군위군,소보면,수요일,0,
군위군,소보면,월요일,2,3
군위군,소보면,일요일,2,6
군위군,소보면,토요일,1,17
군위군,소보면,화요일,2,13.5
군위군,우보면,금요일,2,9.5
군위군,우보면,목요일,1,5
군위군,우보면,수요일,1,6
군위군,우보면,월요일,2,8
군위군,우보면,일요일,1,12
군위군,우보면,토요일,1,11
군위군,우보면,화요일,1,3
군위군,의흥면,금요일,0,
군위군,의흥면,목요일,1,0
군위군,의흥면,수요일,0,
군위군,의흥면,월요일,0,
군위군,의흥면,일요일,1,8
군위군,의흥면,토요일,0,
군위군,의흥면,화요일,1,4
군위군,효령면,금요일,1,0
군위군,효령면,목요일,3,2
군위군,효령면,수요일,0,
군위군,효령면,월요일,1,6
군위군,효령면,일요일,1,3
군위군,효령면,토요일,0,
군위군,효령면,화요일,1,6
남구,대명10동,금요일,0,1.5
남구,대명10동,목요일,0,0.5
남구,대명10동,수요일,0,0.5
남구,대명10동,월요일,0,0.5
남구,대명10동,일요일,0,0
남구,대명10동,토요일,0,0
남구,대명10동,화요일,0,1
남구,대명11동,금요일,0,1.5
남구,대명11동,목요일,0,0.5
남구,대명11동,수요일,0,0.5
남구,대명11동,월요일,0,0.5
남구,대명11동,일요일,0,0
남구,대명11동,토요일,0,0
남구,대명11동,화요일,0,1
남구,대명1동,금요일,0,1.5
남구,대명1동,목요일,0,0.5
남구,대명1동,수요일,0,0.5
남구,대명1동,월요일,0,0.5
남구,대명1동,일요일,0,0
남구,대명1동,토요일,0,0
남구,대명1동,화요일,0,1
남구,대명2동,금요일,0,1.5
남구,대명2동,목요일,1,0.5
남구,대명2동,수요일,1,0.5
남구,대명2동,월요일,1,0.5
남구,대명2동,일요일,0,0
남구,대명2동,토요일,0,0
남구,대명2동,화요일,1,1
남구,대명3동,금요일,0,1.5
남구,대명3동,목요일,0,0.5
남구,대명3동,수요일,0,0.5
남구,대명3동,월요일,0,0.5
남구,대명3동,일요일,0,0
남구,대명3동,토요일,0,0
남구,대명3동,화요일,0,1
남구,대명4동,금요일,0,1.5
남구,대명4동,목요일,0,0.5
남구,대명4동,수요일,0,0.5
남구,대명4동,월요일,0,0.5
남구,대명4동,일요일,0,0
남구,대명4동,토요일,0,0
남구,대명4동,화요일,0,1
남구,대명5동,금요일,0,1.5
남구,대명5동,목요일,0,0.5
남구,대명5동,수요일,0,0.5
남구,대명5동,월요일,0,0.5
남구,대명5동,일요일,0,0
남구,대명5동,토요일,0,0
남구,대명5동,화요일,0,1
남구,대명6동,금요일,0,1.5
남구,대명6동,목요일,0,0.5
남구,대명6동,수요일,1,0.5
남구,대명6동,월요일,0,0.5
남구,대명6동,일요일,0,0
남구,대명6동,토요일,0,0
남구,대명6동,화요일,0,1
남구,대명9동,금요일,4,1.5
남구,대명9동,목요일,4,0.5
남구,대명9동,수요일,8,0.5
남구,대명9동,월요일,6,0.5
남구,대명9동,일요일,5,0
남구,대명9동,토요일,5,0
남구,대명9동,화요일,6,1
남구,봉덕1동,금요일,0,0
남구,봉덕1동,목요일,0,3
남구,봉덕1동,수요일,0,
남구,봉덕1동,월요일,0,
남구,봉덕1동,일요일,0,1
남구,봉덕1동,토요일,0,1
남구,봉덕1동,화요일,0,1
남구,봉덕2동,금요일,1,0
남구,봉덕2동,목요일,0,3
남구,봉덕2동,수요일,0,
남구,봉덕2동,월요일,0,
남구,봉덕2동,일요일,1,1
남구,봉덕2동,토요일,0,1
남구,봉덕2동,화요일,0,1
남구,봉덕3동,금요일,1,0
남구,봉덕3동,목요일,1,3
남구,봉덕3동,수요일,0,
남구,봉덕3동,월요일,0,
남구,봉덕3동,일요일,2,1
남구,봉덕3동,토요일,1,1
남구,봉덕3동,화요일,2,1
남구,이천동,금요일,0,
남구,이천동,목요일,0,
남구,이천동,수요일,0,
남구,이천동,월요일,1,0
남구,이천동,일요일,0,
남구,이천동,토요일,0,
남구,이천동,화요일,0,0
달서구,감삼동,금요일,1,2
달서구,감삼동,목요일,1,0
달서구,감삼동,수요일,0,
달서구,감삼동,월요일,3,0
달서구,감삼동,일요일,0,
달서구,감삼동,토요일,1,0
달서구,감삼동,화요일,0,
달서구,도원동,금요일,0,
달서구,도원동,목요일,2,0.5
달서구,도원동,수요일,2,0
달서구,도원동,월요일,0,
달서구,도원동,일요일,1,3
달서구,도원동,토요일,1,0
달서구,도원동,화요일,0,
달서구,두류1·2동,금요일,2,0.5
달서구,두류1·2동,목요일,0,
달서구,두류1·2동,수요일,0,
달서구,두류1·2동,월요일,1,4
달서구,두류1·2동,일요일,2,0.5
달서구,두류1·2동,토요일,2,0.5
달서구,두류1·2동,화요일,2,5
달서구,두류3동,금요일,0,0.5
달서구,두류3동,목요일,0,
달서구,두류3동,수요일,0,
달서구,두류3동,월요일,0,4
달서구,두류3동,일요일,0,0.5
달서구,두류3동,토요일,1,0.5
