시군구,읍면동,월,월별출동횟수,월별도착시간
군위군,군위읍,1,3,4
군위군,군위읍,10,1,0
군위군,군위읍,11,2,5
군위군,군위읍,12,2,3
군위군,군위읍,2,0,
군위군,군위읍,3,1,0
군위군,군위읍,4,1,1
군위군,군위읍,5,0,
군위군,군위읍,6,2,3
군위군,군위읍,7,1,3
군위군,군위읍,8,2,6
군위군,군위읍,9,1,6
군위군,부계면,1,1,0
군위군,부계면,10,0,
군위군,부계면,11,2,5
군위군,부계면,12,1,1
군위군,부계면,2,1,5
군위군,부계면,3,1,5
군위군,부계면,4,1,5
군위군,부계면,5,1,5
군위군,부계면,6,0,
군위군,부계면,7,0,
군위군,부계면,8,1,22
군위군,부계면,9,0,
군위군,산성면,1,0,
군위군,산성면,10,0,
군위군,산성면,11,0,
군위군,산성면,12,0,
군위군,산성면,2,0,
군위군,산성면,3,0,
군위군,산성면,4,0,
군위군,산성면,5,0,
군위군,산성면,6,0,
군위군,산성면,7,0,
군위군,산성면,8,0,
군위군,산성면,9,1,4
군위군,삼국유사면,1,0,
군위군,삼국유사면,10,0,
군위군,삼국유사면,11,0,
군위군,삼국유사면,12,2,25.5
군위군,삼국유사면,2,0,
군위군,삼국유사면,3,0,
군위군,삼국유사면,4,0,
군위군,삼국유사면,5,1,9
군위군,삼국유사면,6,0,
군위군,삼국유사면,7,0,
군위군,삼국유사면,8,0,
군위군,삼국유사면,9,0,
군위군,소보면,1,1,16
군위군,소보면,10,0,
군위군,소보면,11,2,7
군위군,소보면,12,1,5
군위군,소보면,2,0,
군위군,소보면,3,1,17
군위군,소보면,4,1,7
군위군,소보면,5,0,
군위군,소보면,6,0,
군위군,소보면,7,1,3
군위군,소보면,8,0,
군위군,소보면,9,0,
군위군,우보면,1,1,7
군위군,우보면,10,0,
군위군,우보면,11,0,
군위군,우보면,12,0,
군위군,우보면,2,0,
군위군,우보면,3,1,6
군위군,우보면,4,0,
군위군,우보면,5,2,12
군위군,우보면,6,2,4
군위군,우보면,7,1,13
군위군,우보면,8,2,7
군위군,우보면,9,0,
군위군,의흥면,1,1,0
군위군,의흥면,10,0,
군위군,의흥면,11,0,
군위군,의흥면,12,0,
군위군,의흥면,2,0,
군위군,의흥면,3,1,4
군위군,의흥면,4,1,8
군위군,의흥면,5,0,
군위군,의흥면,6,0,
군위군,의흥면,7,0,
군위군,의흥면,8,0,
군위군,의흥면,9,0,
군위군,효령면,1,1,3
군위군,효령면,10,0,
군위군,효령면,11,0,
군위군,효령면,12,1,2
군위군,효령면,2,1,3
군위군,효령면,3,0,
군위군,효령면,4,1,0
군위군,효령면,5,2,3
군위군,효령면,6,0,
군위군,효령면,7,1,6
군위군,효령면,8,0,
군위군,효령면,9,0,
남구,대명10동,1,0,1
남구,대명10동,10,0,0.5
남구,대명10동,11,0,2
남구,대명10동,12,0,0
남구,대명10동,2,0,0
남구,대명10동,3,0,1
남구,대명10동,4,0,0
남구,대명10동,5,0,0
남구,대명10동,6,0,1
남구,대명10동,7,0,2.5
남구,대명10동,8,0,0
남구,대명10동,9,0,1
남구,대명11동,1,0,1
남구,대명11동,10,0,0.5
남구,대명11동,11,0,2
남구,대명11동,12,0,0
남구,대명11동,2,0,0
남구,대명11동,3,0,1
남구,대명11동,4,0,0
남구,대명11동,5,0,0
남구,대명11동,6,0,1
남구,대명11동,7,0,2.5
남구,대명11동,8,0,0
남구,대명11동,9,0,1
남구,대명1동,1,0,1
남구,대명1동,10,0,0.5
남구,대명1동,11,0,2
남구,대명1동,12,0,0
남구,대명1동,2,0,0
남구,대명1동,3,0,1
남구,대명1동,4,0,0
남구,대명1동,5,0,0
남구,대명1동,6,0,1
남구,대명1동,7,0,2.5
남구,대명1동,8,0,0
남구,대명1동,9,0,1
남구,대명2동,1,0,1
남구,대명2동,10,0,0.5
남구,대명2동,11,0,2
남구,대명2동,12,0,0
남구,대명2동,2,0,0
남구,대명2동,3,1,1
남구,대명2동,4,0,0
남구,대명2동,5,1,0
남구,대명2동,6,0,1
남구,대명2동,7,0,2.5
남구,대명2동,8,1,0
남구,대명2동,9,0,1
남구,대명3동,1,0,1
남구,대명3동,10,0,0.5
남구,대명3동,11,0,2
남구,대명3동,12,0,0
남구,대명3동,2,0,0
남구,대명3동,3,0,1
남구,대명3동,4,0,0
남구,대명3동,5,0,0
남구,대명3동,6,0,1
남구,대명3동,7,0,2.5
남구,대명3동,8,0,0
남구,대명3동,9,0,1
남구,대명4동,1,0,1
남구,대명4동,10,0,0.5
남구,대명4동,11,0,2
남구,대명4동,12,0,0
남구,대명4동,2,0,0
남구,대명4동,3,0,1
남구,대명4동,4,0,0
남구,대명4동,5,0,0
남구,대명4동,6,0,1
남구,대명4동,7,0,2.5
남구,대명4동,8,0,0
남구,대명4동,9,0,1
남구,대명5동,1,0,1
남구,대명5동,10,0,0.5
남구,대명5동,11,0,2
남구,대명5동,12,0,0
남구,대명5동,2,0,0
남구,대명5동,3,0,1
남구,대명5동,4,0,0
남구,대명5동,5,0,0
남구,대명5동,6,0,1
남구,대명5동,7,0,2.5
남구,대명5동,8,0,0
남구,대명5동,9,0,1
