시군구,읍면동,인구(명),면적(㎢),세대수,인구밀도(인/㎢),평균 세대당 인수,자가주차장확보율,전통시장 수,일일차량 통행량,일일차량 평균속도,4m미만_도로폭(km),4~5.5m_도로폭(km),5.5~8m_도로폭(km),8~12m_도로폭(km),12m이상_도로폭(km),전체도로길이(km),4m미만_도로폭비율,연평균구급출동거리,연평균구급출동횟수,연평균구조출동거리,연평균구조출동횟수,연평균생활안전출동거리,연평균생활안전출동횟수,연평균화재출동거리,연평균화재출동횟수
군위군,군위읍,7800,84.07,4239,92.77982634,1.840056617,88.5,1,7199.606132,34.47751976,90.02681898,40.46640896,14.94039897,23.34654609,33.98583515,202.7660082,0.443993645,6.595448461,747,15.4875,16,4.283636364,55,5.6,13
군위군,소보면,2245,101.35,1425,22.15096201,1.575438596,88.5,0,2072.194329,34.21499521,61.59558454,33.00044283,13.2778631,34.72748962,18.63440638,161.2357865,0.382021795,15.94741379,232,27.2125,8,15.33333333,9,13,7
군위군,효령면,3612,98.43,2186,36.69612923,1.652333028,88.5,0,3333.971455,34.39109596,77.03164218,28.17806034,14.30757069,27.58738416,26.05739457,173.1620519,0.444852907,6.311013216,454,7.466666667,21,6.083333333,30,11.1,6
군위군,부계면,2048,64.81,1264,31.60006172,1.620253165,88.5,0,1890.358123,34.92244496,46.61338007,34.25969844,3.230450077,10.1523656,32.39911646,126.6550106,0.368034236,6.710089021,337,10.90322581,31,6.426666667,45,20,9
군위군,우보면,1962,59.83,1265,32.79291325,1.550988142,88.5,0,1810.97785,34.19980311,48.24298652,21.83130635,3.849192179,17.93877734,11.65162166,103.513884,0.466053293,8.454901961,204,12.09,10,9.315789474,19,9.3,9
군위군,의흥면,2236,54.26,1410,41.20899373,1.585815603,88.5,1,2063.887091,33.69831892,53.30090111,32.6303197,3.487424219,21.92018767,1.48414885,112.8229815,0.472429468,4.589849624,266,9.522222222,9,4.005882353,17,4.5,1
군위군,산성면,1197,36.99,785,32.36009732,1.524840764,88.5,0,1104.862633,34.20659483,39.19116654,9.992087502,5.494472604,14.85757784,8.938764481,78.47406897,0.499415502,6.745454545,165,20.33333333,3,9.5,10,17,1
군위군,삼국유사면,1294,114.6,864,11.29144852,1.497685185,88.5,0,1194.396197,34.33266557,95.39737504,45.94601982,13.43521194,34.51950139,30.53415287,219.832261,0.433955301,17.89212598,127,29.8,6,18,13,10,3
남구,이천동,14355,1.09,6869,13169.72477,2.089823846,69.3,0,11041.5,44.67574166,3.018289353,2.907733912,3.079300842,5.089699334,9.58220565,23.67722909,0.12747646,1.110028653,698,2.054545455,77,1.297297297,74,1.2,2
남구,봉덕1동,7953,0.49,4796,16230.61224,1.658256881,69.3,2,13216,29.64704473,1.161325655,2.206052108,3.058390907,3.104373195,5.939114212,15.46925608,0.075073142,2.332375979,516,2.02195122,64,1.555457227,76,1.5125,2
남구,봉덕2동,13068,3.06,5891,4270.588235,2.2182991,69.3,0,15028.5,55.35421584,1.908236345,3.624882302,5.025405806,5.100961765,9.758876464,25.41836268,0.075073142,2.332375979,848,2.02195122,106,1.555457227,125,1.5125,3
남구,봉덕3동,14409,2.69,7685,5356.505576,1.874951204,69.3,0,20941,32.69034627,2.104053987,3.996857139,5.541098275,5.624407565,10.76030387,28.02672084,0.075073142,2.332375979,935,2.02195122,117,1.555457227,138,1.5125,3
남구,대명1동,9511,0.45,5328,21135.55556,1.785097598,69.3,1,17692.5,42.46104918,0.446950587,2.135130595,7.020816344,6.978962758,4.531424122,21.11328441,0.021169164,1.831083664,745,1.424492234,92,0.993246753,84,2.193333333,3
남구,대명2동,11667,0.83,7117,14056.62651,1.639314318,69.3,2,16421,33.42343678,0.548267532,2.619132442,8.612329333,8.560988171,5.558629505,25.89934698,0.021169164,1.831083664,914,1.424492234,113,0.993246753,104,2.193333333,4
남구,대명3동,9374,0.94,5811,9972.340426,1.613147479,69.3,2,18888,29.11895214,0.440512544,2.104375376,6.919685881,6.878435169,4.466151794,20.80916076,0.021169164,1.831083664,735,1.424492234,90,0.993246753,83,2.193333333,3
남구,대명4동,9421,0.71,5451,13269.01408,1.728306733,69.3,1,20571.5,32.08401096,0.442721216,2.114926436,6.954380273,6.912922736,4.48854449,20.91349515,0.021169164,1.831083664,738,1.424492234,91,0.993246753,84,2.193333333,3
남구,대명5동,7355,0.92,4034,7994.565217,1.823252355,69.3,1,29691.5,26.96604217,0.345633642,1.651128749,5.429303355,5.396937344,3.504218738,16.32722183,0.021169164,1.831083664,576,1.424492234,71,0.993246753,65,2.193333333,3
남구,대명6동,10574,1.5,5769,7049.333333,1.832899983,69.3,1,29683,35.20130325,0.496904165,2.373764159,7.80550016,7.758968794,5.037880208,23.47301749,0.021169164,1.831083664,829,1.424492234,102,0.993246753,94,2.193333333,4
남구,대명9동,13383,3.38,7765,3959.467456,1.723502898,69.3,1,11181,56.0154823,0.62890755,3.004358401,9.879043753,9.820151255,6.376201137,29.7086621,0.021169164,1.831083664,1049,1.424492234,129,0.993246753,119,2.193333333,5
남구,대명10동,8116,0.5,4809,16232,1.687668954,69.3,0,21033,31.12338423,0.381395328,1.821966135,5.991057244,5.955342418,3.86678984,18.01655097,0.021169164,1.831083664,636,1.424492234,78,0.993246753,72,2.193333333,3
남구,대명11동,7373,0.87,4325,8474.712644,1.704739884,69.3,2,27808,27.14777429,0.346479516,1.65516958,5.442590569,5.410145349,3.512794664,16.36717968,0.021169164,1.831083664,578,1.424492234,71,0.993246753,65,2.193333333,3
달서구,성당동,20585,1.99,10156,10344.22111,2.026880662,86.1,2,6049,30.70888044,3.057857636,2.801518189,4.788875849,11.63038569,12.08781778,34.36645514,0.088977976,1.653444676,1437,1.688333333,120,1.213829787,188,1.5,4
달서구,두류1·2동,15690,1.33,9084,11796.99248,1.727212682,86.1,2,21434,29.16906565,4.913472508,5.25497622,5.973970962,8.11541452,3.352618368,27.61045258,0.177956971,1.444909831,1719,1.721428571,210,1.7875,248,2.725,8
달서구,두류3동,8980,1.12,4598,8017.857143,1.953023054,86.1,1,9249.5,29.69197305,0.541698356,2.360833769,2.115391553,3.850709758,3.839681864,12.7083153,0.042625505,1.444909831,1719,1.721428571,210,1.7875,248,2.725,8
달서구,본리동,22586,1.09,9566,20721.10092,2.361070458,86.1,1,14055,30.2133148,0.679598962,0.397539752,1.733914868,6.03128495,7.743050233,16.58538876,0.040975763,1.064456522,920,1.183870968,93,1.125263158,95,1.909895291,0
달서구,감삼동,30766,1.18,13434,26072.88136,2.290159297,86.1,0,29872,33.51674985,1.205872222,3.695823456,3.625996393,11.8712876,2.34506485,22.74404452,0.053019252,1.109987593,1612,1.936407767,206,1.554098361,183,1.3,3
