dong,feature,mean_abs_shap
다사읍,fire_count,0.4073781
다사읍,road_len_12up,0.20312677
다사읍,household,0.18611005
다사읍,road_len_12,0.12789303
다사읍,road_len,0.10726031
다사읍,safety_count,0.092209704
다사읍,road_len_8,0.08250029
다사읍,day,0.057027735
다사읍,ambulance_len,0.03733238
다사읍,fire_len,0.036019776
다사읍,population,0.03091647
다사읍,road_len_5.5,0.01842327
다사읍,ambulance_count,0.017851412
다사읍,dong_le,0.015163849
다사읍,safety_len,0.011898399
다사읍,speed,0.009416709
다사읍,ratio_road_len_4,0.009328621
다사읍,sigungu,0.008825826
다사읍,parking,0.008314534
다사읍,rescue_count,0.0075903162
다사읍,household_size,0.00591687
다사읍,rescue_len,0.005196205
다사읍,traffic,0.004281222
다사읍,pop_density,0.0030624294
다사읍,market,0.002186026
다사읍,area,0.0010712113
다사읍,road_len_4,0.00041781875
신당동,fire_count,0.37194553
신당동,household,0.22560465
신당동,road_len_12up,0.19513912
신당동,road_len_12,0.11400736
신당동,road_len,0.11245615
신당동,ambulance_count,0.09967439
신당동,household_size,0.073304005
신당동,day,0.034848478
신당동,road_len_5.5,0.033731654
신당동,ambulance_len,0.02472969
신당동,population,0.024182634
신당동,road_len_8,0.017202474
신당동,ratio_road_len_4,0.01716458
신당동,sigungu,0.015668172
신당동,safety_count,0.01403053
신당동,safety_len,0.013230966
신당동,fire_len,0.012999184
신당동,rescue_len,0.0125793815
신당동,dong_le,0.012361749
신당동,parking,0.008316525
신당동,rescue_count,0.0066474313
신당동,road_len_4,0.0033895804
신당동,pop_density,0.003296221
신당동,area,0.001976609
신당동,traffic,0.0014624327
신당동,speed,0.001407894
신당동,market,0.00019024135
구지면,fire_count,0.35031724
구지면,road_len_12up,0.15326896
구지면,safety_count,0.10352916
구지면,road_len_12,0.0946239
구지면,road_len,0.09067179
구지면,household,0.08983105
구지면,day,0.08740021
구지면,ambulance_count,0.07984148
구지면,road_len_8,0.07445032
구지면,ambulance_len,0.037851214
구지면,speed,0.030779222
구지면,road_len_5.5,0.019713422
구지면,safety_len,0.018283367
구지면,population,0.016436504
구지면,dong_le,0.016422933
구지면,traffic,0.012425557
구지면,ratio_road_len_4,0.009856683
구지면,rescue_count,0.009433133
구지면,parking,0.0092339795
구지면,household_size,0.008945641
구지면,sigungu,0.008243738
구지면,fire_len,0.0052682804
구지면,rescue_len,0.0045007127
구지면,pop_density,0.0033298607
구지면,road_len_4,0.0033258465
구지면,market,0.0018700856
구지면,area,0.0015970848
옥포읍,fire_count,0.38990757
옥포읍,road_len_12up,0.17302693
옥포읍,road_len_12,0.103116415
옥포읍,household,0.09529813
옥포읍,road_len,0.09044671
옥포읍,ambulance_count,0.08818852
옥포읍,road_len_8,0.07585287
옥포읍,day,0.059870098
옥포읍,safety_count,0.05921748
옥포읍,fire_len,0.041509096
옥포읍,road_len_5.5,0.018608037
옥포읍,dong_le,0.015425344
옥포읍,speed,0.014972135
옥포읍,ambulance_len,0.014106708
옥포읍,population,0.013788068
옥포읍,safety_len,0.013682596
옥포읍,ratio_road_len_4,0.010569641
옥포읍,parking,0.009918556
옥포읍,sigungu,0.008492382
옥포읍,household_size,0.007547079
옥포읍,area,0.005061454
옥포읍,traffic,0.0038762018
옥포읍,rescue_len,0.0036485377
옥포읍,pop_density,0.0034378513
옥포읍,rescue_count,0.0031832375
옥포읍,road_len_4,0.0021040798
옥포읍,market,0.0018646668
논공읍,fire_count,0.4215796
논공읍,road_len_12up,0.18158099
논공읍,road_len_12,0.10038031
논공읍,ambulance_count,0.09409151
논공읍,road_len,0.08780729
논공읍,road_len_8,0.08690983
논공읍,household,0.0817579
논공읍,day,0.059577327
논공읍,safety_count,0.03539158
논공읍,fire_len,0.032466795
논공읍,road_len_5.5,0.022276074
논공읍,household_size,0.019331926
논공읍,dong_le,0.015324037
논공읍,rescue_count,0.014558672
논공읍,safety_len,0.010893934
논공읍,ratio_road_len_4,0.010517565
논공읍,parking,0.009329243
논공읍,sigungu,0.008932186
논공읍,speed,0.007036158
논공읍,ambulance_len,0.006761116
논공읍,rescue_len,0.004007221
논공읍,traffic,0.0033888745
논공읍,pop_density,0.0033127337
논공읍,market,0.0030089968
논공읍,population,0.0016781852
논공읍,area,0.0014721664
논공읍,road_len_4,0.00043001506
대명9동,road_len_8,0.17619264
대명9동,ambulance_count,0.15060537
대명9동,road_len,0.13462591
대명9동,household,0.133746
대명9동,speed,0.117152974
대명9동,fire_count,0.11371964
대명9동,parking,0.110920444
대명9동,household_size,0.08659025
대명9동,safety_count,0.050207827
대명9동,ambulance_len,0.04740079
대명9동,ratio_road_len_4,0.023187384
대명9동,sigungu,0.022459181
대명9동,day,0.020019503
대명9동,rescue_count,0.018610876
대명9동,area,0.01666752
대명9동,dong_le,0.016366115
대명9동,safety_len,0.013803571
대명9동,traffic,0.012539633
대명9동,pop_density,0.010222463
대명9동,population,0.009773263
대명9동,rescue_len,0.009214203
대명9동,fire_len,0.008627172
대명9동,market,0.006215188
대명9동,road_len_5.5,0.0060126674
대명9동,road_len_12up,0.003403421
대명9동,road_len_4,0.0026483457
대명9동,road_len_12,0.0016541657
월성1동,fire_count,0.39420614
월성1동,road_len_12up,0.19134696
월성1동,household,0.17930081
월성1동,road_len,0.13207546
월성1동,ambulance_count,0.06561955
월성1동,pop_density,0.039000593
월성1동,day,0.036348887
월성1동,household_size,0.03042139
월성1동,population,0.02033366
월성1동,area,0.018730436
월성1동,safety_len,0.018288875
월성1동,sigungu,0.018230412
월성1동,safety_count,0.01665919
월성1동,ratio_road_len_4,0.0151562495
월성1동,ambulance_len,0.014465767
월성1동,road_len_12,0.012422669
월성1동,fire_len,0.010549712
월성1동,speed,0.009125205
월성1동,traffic,0.008930608
월성1동,dong_le,0.008554921
